Team,City,Stadium,Capacity,Latitude,Longitude,Country
Arsenal FC,London ,Emirates Stadium ,60361,51.555000,-0.108611,England
Aston Villa,Birmingham ,Villa Park ,42785,52.509167,-1.884722,England
Barnsley FC,Barnsley ,Oakwell ,23009,53.552222,-1.467500,England
Birmingham City,Birmingham ,St Andrew's Stadium ,30079,52.475703,-1.868189,England
Blackburn Rovers,Blackburn ,Ewood Park ,31154,53.728611,-2.489167,England
Blackpool FC,Blackpool ,Bloomfield Road ,16220,53.804722,-3.048056,England
Bolton Wanderers,Bolton ,Reebok Stadium ,28100,53.580556,-2.535556,England
AFC Bournemouth,Bournemouth, Dean Court,11329,50.735278,-1.838333,England
Bradford City,Bradford, Utilita Energy Stadium ,25136,53.804167,-1.758889,England
Brighton & Hove Albion,Brighton ,American Express Community Stadium ,22374,50.861822,-0.083278,England
Burnley FC,Burnley ,Turf Moor ,22546,53.789167,-2.230278,England
Cardiff City,Cardiff ,Cardiff City Stadium ,26828,51.472778,-3.203056,England
Charlton Athletic, London,The Valley ,27111,51.486389,0.036389,England
Chelsea FC,London ,Stamford Bridge ,42449,51.481667,-0.191111,England
Coventry City,Coventry ,Ricoh Arena ,32609,52.448056,-1.495556,England
Crystal Palace,London ,Selhurst Park ,26309,51.398333,-0.085556,England
Derby County,Derby ,Pride Park Stadium ,33597,52.915000,-1.447222,England
Everton FC,Liverpool ,Goodison Park ,40157,53.438889,-2.966389,England
Fulham FC,London ,Craven Cottage ,25700,51.475000,-0.221667,England
Huddersfield Town,West Yorkshire, John Smith's Stadium ,24121,53.654167,-1.768333,England
Hull City,Kingston upon Hull ,KC Stadium ,25404,53.746111,-0.367778,England
Ipswich Town,Ipswich ,Portman Road ,30311,52.055061,1.144831,England
Leeds United,Leeds ,Elland Road ,39460,53.777778,-1.572222,England
Leicester City,Leicester ,King Power Stadium ,32500,52.620278,-1.142222,England
Liverpool FC,Liverpool ,Anfield ,45276,53.430819,-2.960828,England
Manchester City,Manchester ,Etihad Stadium,47405,53.482989,-2.200292,England
Manchester United,Stretford ,Old Trafford ,75811,53.463056,-2.291389,England
Middlesbrough FC,Middlesbrough ,Riverside Stadium ,34988,54.578333,-1.216944,England
Newcastle United,Newcastle upon Tyne ,Sports Direct Arena,52409,54.975556,-1.621667,England
Norwich City,Norwich ,Carrow Road ,27010,52.622128,1.308653,England
Nottingham Forest,Nottingham ,City Ground ,30576,52.940000,-1.132778,England
Oldham Athletic, Oldham ,Boundary Park ,13513,53.555278,-2.128611,England
Portsmouth FC,Portsmouth ,Fratton Park ,20224,50.796389,-1.063889,England
Queens Park Rangers,London ,Loftus Road ,18439,51.509167,-0.232222,England
Reading FC,Reading ,Madejski Stadium ,24224,51.422222,-0.982778,England
Sheffield United,Sheffield ,Bramall Lane ,32125,53.370278,-1.470833,England
Sheffield Wednesday,Sheffield ,Hillsborough Stadium,39732,53.411389,-1.500556,England
Southampton FC,Southampton ,St Mary's Stadium ,32689,50.905833,-1.391111,England
Stoke City,Stoke-on-Trent ,Britannia Stadium ,27740,52.988333,-2.175556,England
Sunderland AFC,Sunderland ,Stadium of Light ,48707,54.914400,-1.388200,England
Swansea City,Swansea ,Liberty Stadium ,20520,51.642200,-3.935100,England
Swindon Town,Swindon ,County Ground ,15728,51.564444,-1.770556,England
Tottenham Hotspur,London ,White Hart Lane ,36230,51.603333,-0.065833,England
Watford FC,Watford ,Vicarage Road ,23500,51.649836,-0.401486,England
West Bromwich Albion,West Bromwich ,The Hawthorns ,27877,52.509167,-1.963889,England
West Ham United,London ,Boleyn Ground ,35303,51.531944,0.039444,England
Wigan Athletic,Wigan ,DW Stadium ,25133,53.547778,-2.653889,England
Wimbledon FC,London ,Plough Lane ,15876,51.428472,-0.189667,England
Wolverhampton Wanderers,Wolverhampton ,Molineux Stadium ,27828,52.590278,-2.130278,England